R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
16,M339,Raissa Maritain,ADVENTURES IN GRACE SEQUEL TO WE HAVE BEEN FRIENDS TOGETHER,1945,FICTION,
33,F955,Francis Fukuyama,AFTER THE NEOCONS: AMERICA AT THE CROSSROADS,2006,FICTION,
71,940.253Ag31,,AGE OF ENLIGHTENMENT,1966,GEN-REF2,
161,361.76Au16,Pierre Aubin,AGENCIES FOR PROJECT ASSISTANCE,1984,General Reference,
562,271.53Ah1i,,AH! THESE JESUITS! : II What goes on inside,1992,SPIRITUALITY,
561,271.53Ah1m,,AH! THESE JESUITS! : III The man in the SJ mask,1992,SPIRITUALITY,
73,268.07Al 129,,Alay Kapwa 2001 Pagbabahagi ng Buhay Pilipino bilang Ebanghelyo sa Bagong Milenyo,2001,Filipiniana,
82,362.929Al187c.1,,ALCOHOLICS ANONYMOUS : The story of how many thousand men and women have recoverd in alcoholisms,1976,REFERENCE (Library 2),
83,362.929Al187c.2,,ALCOHOLICS ANONYMOUS : The story of how many thousand men and women have recoverd in alcoholisms,1976,REFERENCE (Library 2),
446,248.2D641c.1,"Parmananda R. Divarkar, S.J.",ALIVE TO GOD :  Reflection of the ideal and practice of the spiritual exercises of St Ignatius  of loyola,1979,SPIRITUALITY,
447,248.2D641c.2,"Parmananda R. Divarkar, S.J.",ALIVE TO GOD :  Reflection of the ideal and practice of the spiritual exercises of St Ignatius  of loyola,1979,SPIRITUALITY,
305,261.83T646,Dominique Le Tourneau,ALL ABOUT Opus Dei,1994,Filipiniana,
