R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
646,242Z657,Adolf Zimmermann,ALLIESIST HINWEIS : Meditationen und Gebete,2004,SPIRITUALITY,
98,Z248.482 E18,"IGNACIO ECHÀNIZ, S.J.",AMAR Y SERVIR,1990,SPECIAL COLLECTION,
209,230.2P612,"Aloysius Pieris, S.J.",An Asian Theology of Liberation,1988,Filipiniana,
49,282.092W528,William Weston,AN AUTOBIOGRAPHY FROM THE JESUIT UNDERGROUND,1955,SPIRITUALITY,
714,282.092W528,William Weston,AN AUTOBIOGRAPHY FROM THE JESUIT UNDERGROUND,1980,SPIRITUALITY,
573,248.3M297,"George A. Maloney, S.J.",AN EIGHT - DAY RETREAT : Alone with the alone ,1982,SPIRITUALITY,
744,242M56c.1,"Maurice Meschler, S.J.",AN EIGHT DAYS RETREAT,,SPIRITUALITY,
745,242M56c.2,"Maurice Meschler, S.J.",AN EIGHT DAYS RETREAT,,SPIRITUALITY,
746,242M56c.3,"Maurice Meschler, S.J.",AN EIGHT DAYS RETREAT,,SPIRITUALITY,
18,423.9921C112,"Rodolfo Cabonce, S.J.",AN ENGLISH-CEBUANO VISAYAN DICTIONARY,1983,FILIPIANA (LIBRARY 2),
358,271.53Ev132,,AN EVALUATION OF THE HANDBOOK JESUIT RELIGIOUS LIFE : Six comments and a panel,,SPIRITUALITY,
35,248.3G724,"Juan Antonio Goyoaga, S.J.",AN EXPERIENCE OF THE SPIRITUAL EXERCISES,1984,Filipiniana,
34,248.22G749,"Juan Antonio Goyoaga, S.J.","AN EXPERIENCE OF THE SPIRITUAL EXERCISES, 2nd edition",1984,Filipiniana,
410,248.482Os8,"Patrick O'Sullivan, S.J. Et Al.",AN IGNATION JOURNEY FOR LAY APOSTLES,1987,SPIRITUALITY,
73,225.3Se81,Aloysius H. Seubert,AN INDEX TO THE NEW TESTAMENT,1945,BIBLICAL STUDIES,
158,262.9In784,,AN INSTRUCTION ON TEMPORAL ADMINISTRATIN : AD USUM NOSTRORUM TANTUM,1950,General Reference,
723,253.5G434,Rev. Roman Ginn o.c.s.o,AN INSTRUCTION ON TEMPORAL ADMINISTRATION,1950,SPIRITUALITY,
74,940.53H557,Etty Hillesum ,AN INTERRUPTED LIFE ,1943,REFERENCE (Library 2),
134,248.343C529,"Thomas H. Clancy, S.J.",AN INTRODUCTION TO JESUIT LIFE,1976,THEOLOGY,
150,225.6B812,Raymond E. Brown,An Introduction to the New Testament,1997,BIBLICAL STUDIES,
107,248.483G687,John P.  Gorsuch,AN INVITATION TO THE SPIRITAUL JOURNEY,1990,SPIRITUALITY,
271,232M324,,AN MARAHAY NA BARETA NI JESUCRISTO benikol ni T.C. de la Paz,1980,Filipiniana,
266,299.16O13,John O' Donohue,ANAM CARA SPIRITUAL WISDOM FROM THE CELTIC WORLD,1997,SPIRITUALITY,
34,253 D290,"Henry Davis, S.J.",Ancient christian writer : the works of the fathers in translation ; ST. GREGORY : THE GREAT PASTORAL CARE,1950,THEOLOGY,
262,221.95D4922,Roland de Vaux,"Ancient Israel : Religious Institutions eith Bibliography, indexes and a Map",1961,THEOLOGY,
73,933D340,Ronald De Vaux,ANCIENT ISRAEL Volume 1,1959,REFERENCE (Library 2),
107,937L615,Anna Maria Liberati & Fabio Bourbon,ANCIENT ROME : HISTORY OF A CIVILIZATION THAT RULED THE WORLD,1996,General Reference,
433,226.1C233,CARLO CARRETTO,AND GOD SAW THAT IT WAS GOOD translated by Alan Neame,1989,Filipiniana,
147,232.97El 78,Edward L.R. Elson,AND STILL HE SPEAKS : the words of the Risen Christ,1956,THEOLOGY,
223,,,"And the Thirty-Second General Congregation vol.3,no.17",1974,PERIODICAL,
95,232.9Ar34,"C.G. AREVALO, S.J.",AND THEY SHALL NAME HIM EMMANUEL,1999,Filipiniana,
303,262.21At719,,ANG ATONG KINABUHI SA PAROKYA Higugma-a Ang Imong Parokya,1988,Filipiniana,
213,226M417,"Juan Mateos, S.J.",ang BAG-ONG KASABOTAN ug ang MENSAHE ni JESUS,1976,Filipiniana,
141,225.599T736c.1,"P. JUAN T. TRINIDAD, S.J.",Ang Bagong TIPAN Ng Ating Mananakop at Panginoong JESUCRISTO,1964,Filipiniana,
142,225.599T736c.2,"P. JUAN T. TRINIDAD, S.J.",ANG BAGONG TIPAN Ng Ating Mananakop at Panginoong JESUCRISTO,1964,Filipiniana,
135,220.520599Eb14,Pedro Calungsod Bible Animators,Ang Ebanghelyo : gihubad gikan sa gigikanang pinulongan nga griyego,2012,Filipiniana,
295,226.4Eb14,,Ang Ebanghelyo ni Lucas,2000,Filipiniana,
168,238.2K156,San Roque Parish Kitobo,ANG KATEKISMO SA DOKTRINA KATOLIKA 1,n.d.,Filipiniana,
1,255.53C112 c.1,"P. Rodolfo P. Cabonce, S.J.",Ang mga Ehersisyos Espirituales ni San Ignacio De Loyola,1975,Filipiniana,
2,255.53C112 c.2,"P. Rodolfo P. Cabonce, S.J.",Ang mga Ehersisyos Espirituales ni San Ignacio De Loyola,1975,Filipiniana,
3,255.53C112 c.3,"P. Rodolfo P. Cabonce, S.J.",Ang mga Ehersisyos Espirituales ni San Ignacio De Loyola,1975,Filipiniana,
143,248.3V712,"Cristobal V. Villapando, S.J.",ANG MGA Pangaluluwang Pagsasanay ni San Ignacio,1967,Filipiniana,
67,230Se84,"Pedro C. Sevilla, S.J.",Ang Salita ng Diyos At Tugon ng Tao,1999,Filipiniana,
537,220Sa596,,ANG SANTOS NGA BIBLIYA,1990,Filipiniana,
110,704.948W691,Peter Lamborn wiilson,ANGELS,1980,General Reference,
54,271.53An787,,ANNUARIUM SOCIETATIS IESU 1964 1965,1965,SPECIAL COLLECTION,
207,248.4W930,Brayant Wright,ANOTHER MINUTE OF YOUR TIME,2000,SPIRITUALITY,
264,248.5R862,L. M. Rulla S.J.,"Anthropology of the Christian Vocation, Volume 1",1986,THEOLOGY,
4,152.4St351,Heiri Steiner & Jean Gebser,ANXIETY A CONDITION OF MODERN MAN,1962,REFERENCE (Library 2),
48,261.2Ap46,,APOSTOLIC EXHORTATION FAMILIARIS CONSORTO OF HIS HOLINESS POPE JOHN PAUL II TO THE EPISCOPATE TO THE CLERGY AND TO THE FAITHFUL OF THE WHOLE CATHOLIC CHURCH REGARDING THE ROLE OF THE CHRISTIAN FAMILY MODERN WORLD,,PAPAL COLLECTION,
50,232.91Ap46,,APOSTOLIC EXHORTATION MARIALIS CULTUS OF HIS HOLINESS PAUL VI TO ALL BISHOPS IN PEACE AND COMMUNION WITH THE APOSTOLIC SEE FOR THE RIGHT ORDERING AND DEVELOPMENT OF DEVOTION TO THE BLESSED VIRGIN MARY,,PAPAL COLLECTION,
13,232.91Ap46,,APOSTOLIC EXHORTATION MARIALIS CULTUS OF HIS HOLINESS PAUL VI TO ALL BISHOPS IN PEACE AND COMMUNIOS WITH THE APOSTOLIC SEE FOR THE RIGHT ORDERING AND DEVELOPMENT OF DEVOTION TO THE BLESSED VIRGIN MARY,,PAPAL COLLECTION,
89,262.91Ap46,,APOSTOLIC EXHORTION THE ROLE OF THE CHRISTIAN FAMILY IN THE MODERN WORLD : FAMILIARIS CONSORTIO,,PAPAL COLLECTION,
49,261.8Ap46,,APOSTOLIC LETTER MULIERIS DIGNITATEM OF THE SUPREME PONTIFF JOHN PAUL II ON THE DIGNITY AND VOCATION OF WOMEN ON THE OCCASION OF THE MARIAN YEAR,,PAPAL COLLECTION,
67,262.7Ap46,,APOSTOLIC LETTER NOVO MILLENNIO INEUNTE OF HIS HOLINESS TO THE BISHOPS CLCLEGY AND LAY FAITH AT THE CLOSE OF THE CLOSE OF THE GREAT JULIBBE OF THE YEAR 2000,,PAPAL COLLECTION,
12,262.91Ap46,,APOSTOLIC LETTER OF THE SUPREME PONTIFF JOHN PAUL II ON CATHOLIC UNIVERSITIES,,PAPAL COLLECTION,
11,264.01Ap46,,APOSTOLIC LETTER OF THE SUPREME PONTIFF JOHN PAUL II ON THE 25TH ANNIVERSARY OF THE PROMULGATION OF THE CONCILIAR CONSTITUTION SACROSANCTUM CONCILIUM ON THE SACRED LITURGY,,PAPAL COLLECTION,
568,242Z38,Dom Hubert Van Zeller,APPROACH TO PRAYER,1958,SPIRITUALITY,
421,241.6L177,"Antonio B. Lambino, S.J.",APPROACHES TO CHRISTIAN DECISION : occasional lectures and papers,1976,Filipiniana,
44,248.4Ap95d,,APUNTES IGNACIANOS DESPUÉS DE SANTO DOMINGO: UNA ESPIRITUALIDAD RENOVADA.,1992,SPECIAL COLLECTION,
42,248.4Ap95f,,APUNTES IGNACIANOS FORMACION; PROPUESTAS DESDE AMÉRICA LATINA,1992,SPECIAL COLLECTION,
43,248.4Ap95g,,APUNTES IGNACIANOS GUíAS PARA EJERCICIOS EN LA VIDA CORRIENTE (II),1992,SPECIAL COLLECTION,
33,248.4Ap95,,"APUNTES IGNACIANOS IGNACIO DE LOYOLA, PEREGRINO EN LA IGLESIA (UN ITINERARIO DE COMUNIÓN ECLESIAL)",1992,SPECIAL COLLECTION,
63,248.4Ap95,,"APUNTES IGNACIANOS LOS EJERCICIOS ""...REDESCUBRIR SU DINAMISMO EN FUNCIÓN DE NUESTRO TIEMPO...""",1992,SPECIAL COLLECTION,
868,282.0924Er29,Placido Erdozain,ARCHBISHOP ROMERO MARTYR OF SALVADOR,1980,SPIRITUALITY,
258,248.32G267,Joan Bel Geddes,ARE YOU LISTENING GOD? (I NEED YOU) ,1994,SPIRITUALITY,
506,248.2G223,Kay Gates,ARE YOU READY TO PAY THE PRICE? HOW MUCH? - YOUR LIFE,,SPIRITUALITY,
309,242.62G945,"Nil Guillemette, S.J.",Arise my love : God tales for young and old,1991,Filipiniana,
238,261.57R993,Philip Graham Ryken,Art for God's Sake : A call to recover the arts,1995,THEOLOGY,
242,261.57B817,Hilary Brand,Arts & Soul : Signposts For Christians in the Arts,2001,THEOLOGY,
388,248.4F391,Angelo Fernandes,AS YOU PRAY SO YOU LIVE,1996,SPIRITUALITY,
587,248.2Sa221,St. John of the Cross,ASCENT OF MOUNT CARMEL : A masterpiece in the literature of mysticism,1958,SPIRITUALITY,
663,242.34M826,Robert F. Morneau,ASHES TO EASTER : Lenten Meditation,1957,SPIRITUALITY,
240,266.023K913,"James H. Kroeger, MM",ASIA-CHURCH IN MISSION ; Exploring Ad Gentes Mission Initiatives of the local churches in asia in the Vatican II Era,1999,Filipiniana,
5,248.4C823,"MAURIZIO COSTA, S.J.",ASPETTI DELLO STILE DI ELEZIONE DI S. IGNACIO NELL' AUTOBIOGRAFIA,1974,SPECIAL COLLECTION,
3,700.92H426,Ma. Alessandra L. Hermano,AT HOME WITH FILIPINO ART AND ARTISTS,2001,FILIPIANA (LIBRARY 2),
634,248.3L585c.2,"Hedwig Lewis, S.J.","AT HOME WITH GOD : A ""SEED-LIFE""Programme Guide spirituality exercises to enrich daily- life ",1992,SPIRITUALITY,
635,248.3L585c.1,"Hedwig Lewis, S.J.","AT HOME WITH GOD : A ""SEED-LIFE""Programme Guide spirituality exercises to enrich daily- life (phtoto copy)",1992,SPIRITUALITY,
,,"Fr. Tom O'Hara, S.J",AT HOME WITH THE SPIRIT -  PART 1,1966,BOOKLET,
,,"Fr. Tom O'Hara, S.J",AT HOME WITH THE SPIRIT -  PART 2,1967,BOOKLET,
,,"Fr. Tom O'Hara, S.J",AT HOME WITH THE SPIRIT -  PART 3,1968,BOOKLET,
482,234.77At1,,AT HOME WITH YOUR ROSARY AND NOVENA,n.d.,Filipiniana,
99,378.1At27,"Richie R. Fernando, S.J",ATENEO ALUMNI DIRECTORY 3RD INTERNATIONAL EDITION-1998,1998,General Reference,
105,220.5M471,F.Van Der Meer & Christine Mohrmann,ATLAS OF THE EARLY CHRISTIAN WORLD,1958,General Reference,
9,,,AUCTIONEERS GLERUM,,SPECIAL COLLECTION LIB 2,
157,248.3405 C333a,,AVAILABILITY ... THE HEART OF OUR IDENTITY ...,1978,PERIODICAL,
70,275.99G437c.1,"Pasquale T. Giordano, S.J.",AWAKENING TO MISSION The Philippine Catholic Church 1965-1981,1988,Filipiniana,
71,275.99G437c.2,"Pasquale T. Giordano, S.J.",AWAKENING TO MISSION The Philippine Catholic Church 1965-1981,2003,Filipiniana,
624,248.482D393,"Anthony de Mello, S.J.",AWARENESS :  A de mello spirituality conference in his own words ,1990,SPIRITUALITY,
11, 271.9Aw73,,AWROC DIRECTORY ASSOCIATION OF WOMEN RELIGIOUS OF CEBU,1986,GEN-REF2,
63,371.32B146,,BAG-ONG LIBRO SA ESKWELAHAN,1978,FILIPIANA (LIBRARY 2),
269,271.5Sa551,"Mateo Sanchez, S.J.",Balik Lantaw: Diary of a Jesuit Missionary,2023,Filipiniana,
28,,Ein Dorf,BANNWIL ,1993,SPECIAL COLLECTION LIB 2,
42,262 Az25,"Marcello deC. Azevedo, S.J.",BASIC ECCLESIAL COMMUNITIES IN BRAZIL : the challenge of a new way of being church,1987,THEOLOGY,
197,262B292c.1,,BASIC ECCLESIAL COMMUNITY : CHURCH FROM THE ROOTS,1972,THEOLOGY,
198,262B292c.2,,BASIC ECCLESIAL COMMUNITY : CHURCH FROM THE ROOTS,1972,THEOLOGY,
164,262.26M339,,BASIC ECCLESIAL COMMUNITY: CHURCH FROM THE ROOTS,n.d.,THEOLOGY,
81,158.1M451,John C. Maxwell,BE ALL YOU CAN BE! : A challenge stretch to your given potential,1960-1984,FILIPIANA (LIBRARY 2),
,,"Je. English , B.J",BEATIFICATION OF THREE JESUITS ,,BOOKLET,
542,272.092 B380,,BEATO HANNIBAL DI FRANCIA ( Cebuano comics type/magazine) Life of the saint,n.d.,Filipiniana,
106,248.2B385,Henri J.M. Nouwen,BEAUTY OF THE BELOVED,1998,SPIRITUALITY,
794,242B623,Anthony Bloom,BEGINNING TO PRAY,1970,SPIRITUALITY,
85,362.19697992G578,Rabbi Harris R. Goldstein,BEING A BLESSING 54: Ways you can help peole living with aids,1995,REFERENCE (Library 2),
20,P271,Ann Patchett,BEL CANTO,2001,FICTION,
585,248.89P959,E.J. Franasiak,BELONGING: ISSUES OF EMOTIONAL LIVING IN AN AGE OF STRESS FOR CLERGY AND RELIGIOUS,1979,SPIRITUALITY,
156,271.45H561,"Stephanus Hilpisch, O.S.B",BENEDICTINISM THROUGH CHANGING CENTURIES,1958,SPIRITUALITY,
475,248.3W560,Joseph P. Whelan,BENJAMIN ESSAYS IN PRAYER,1972,SPIRITUALITY,
69,892.7c417,Chekhov,BEST PLAYS ,1956,REFERENCE (Library 2),
691,248.4G223,Kay Gates,BEYOND THE CROSS NO TURNING BACK,,SPIRITUALITY,
364,261.8H384,FR. HERMANN HENDRICKX,BIBLE ON JUSTICE,1978,Filipiniana,
198,252.2B4741,Carmelite Community,Bible Services: Leader's Manual,1981,Filipiniana,
89,220B471i,Bernardo Hurault,Biblia SA Kristohanong Katilingban ( Ikaduhang edisyon),1992,Filipiniana,
88,220.B471u,Bernardo Hurault,Biblia SA Kristohanong Katilingban ( Unang edisyon),1992,Filipiniana,
153,220.93M692,T.C.Mitchell,BIBLICAL ARCHAEOLOGY; DOCUMENTS FROM THE BRITISH MUSEUM,1988,General Reference,
139,252L522,"Bernard J. Lefrois, S.V.D.",BIBLICAL NOTES AND HOMILIES,n.d.,THEOLOGY,
949,248.3C964c.1,"Gilles Cusson, S.J.",BIBLICAL THEOLOGY AND THE SPIRITUAL EXERCISES : A method toward a personal experience of god as accomplishing within us his plan of salvation,1988,SPIRITUALITY,
950,248.3C964c.2,"Gilles Cusson, S.J.",BIBLICAL THEOLOGY AND THE SPIRITUAL EXERCISES : A method toward a personal experience of god as accomplishing within us his plan of salvation,1988,SPIRITUALITY,
951,248.3C964c.3,"Gilles Cusson, S.J.",BIBLICAL THEOLOGY AND THE SPIRITUAL EXERCISES : A method toward a personal experience of god as accomplishing within us his plan of salvation,1988,SPIRITUALITY,
952,248.3C964c.4,"Gilles Cusson, S.J.",BIBLICAL THEOLOGY AND THE SPIRITUAL EXERCISES : A method toward a personal experience of god as accomplishing within us his plan of salvation,1988,SPIRITUALITY,
953,248.3C964c.5,"Gilles Cusson, S.J.",BIBLICAL THEOLOGY AND THE SPIRITUAL EXERCISES : A method toward a personal experience of god as accomplishing within us his plan of salvation,1988,SPIRITUALITY,
133,226.3M992,Ched Myers,BINDING THE STRONG MAN,1988,THEOLOGY,
843,271.9102D630c.1,"Joseph I.Dirvin, C.M",BLESSED ELIZABETH ANN SETON,1985,SPIRITUALITY,
844,271.9102D630c.2,"Joseph I.Dirvin, C.M",BLESSED ELIZABETH ANN SETON,1985,SPIRITUALITY,
543,272.092T871,"Teodoro Tusino, R.C.J.",BLESSED HANNIBAL MARY DI FRANCIA,1990,Filipiniana,
565,282.0924F844,"Fr. Mario Francesconi, C.S.",BLESSED JOHN BAPTIST SCALABRINI,n.d.,Filipiniana,
106,282.092M733,"Paolo Molinari, S.J.",Blessed Miguel Agustin Pro Jesuit Priest And Christ's Witness unto Death,1994,Filipiniana,
414,271.5302St133,"Hans Staffner, S.J.","BLESSED RUPERT MAYER, S.J.",1993,SPIRITUALITY,
239,264.1B617,,Blessing of the Belen ( Pagbabasbas ng Belen ),1990,Filipiniana,
21,Sa714,Jose Saramago,BLINDESS,1995-1997,FICTION,
276,234.3B456,"Luis M. Bermejo, S.J.",Body Broken and Blood Shed,1989,THEOLOGY,
8,264.019B644,,BOOK OF PRAYER ( a short breviary / litrurgical Horarum ),1974,SPIRITUALITY,
,,Joan Carrera I Carrere,"BOOKLETS :  A difficult and society from an ethical perspective, n.141",2011,,
,,M. Dolorsd Oller I Sala,"BOOKLETS : Building a sence of community : the new world order and religious , n.131",2008,,
,,Cristianisme I Justicia,"BOOKLETS : Commentary on the ""Notification ""regarding jon sobrino, n.126",2007,BOOKLET,
,,"Teresa Forcades I Vila, MD OSB","BOOKLETS : Crimes and abuses of the pharmaceutical industry, 124",2006,BOOKLET,
,,Joan Carrera I Carrere,"BOOKLETS : Identities for the 21st century, n.127",2007,,
,,Jaume Flaquer Garcia,"BOOKLETS : iItinerant lives,n.128 ",2007,,
,,Demetio Velasco Criado,"BOOKLETS : Is private property theft?, n.130",2008,,
,,"Xavier Alegre, S.J","BOOKLETS : Jesus , Judas Da Vinci, n.125",2007,BOOKLET,
,,"Daniel Izuzquisa, S.J","BOOKLETS : Kenotic revolution the spiritual politics of dorothy day, n.135",2009,,
,,"luis Magrina , s.j","BOOKLETS : Regueed in the 21st century can we find a solution, n.123",2006,BOOKLET,
,,Jose Laguna,"BOOKLETS : Taking stock of reality taking responsibility for reality and taking charge of reality, n.143",2012,,
,,Josep Gimenez,"BOOKLETS : The questions we carry within us , n.134 ",2009,,
,,"Xavier Alegre, S.J",BOOKLETS : What is happeming in the church? N.129,2008,,
434,264.02B457,"Paul Bernier, SSS",BREAD BROKEN AND SHAPED : broadening our vision of eucharist,1981,Filipiniana,
520,242M558,Thomas Merton,BREAD IN THE WILDERNESS,1953,SPIRITUALITY,
99,248.3C992,Jim Cymbala,BREAK THROUGH PRAYER : the secret of receiving what you need from God,2003,Filipiniana,
601,248.3L648,"Mark Link, S.J.",BREAKAWAY: Twenty - eight  step  to a more reflective life,1980,SPIRITUALITY,
92,282J613,,BREAKFAST WITH THE POPE ,1995,PAPAL COLLECTION,
677,242.86M951,Cecil Murphy,BREAKING THE SILENCE : Spiritual help when someone you love is mentally ill,1989,SPIRITUALITY,
79,W357,Evelyn Waugh,BRIDESHEAD REVISITED,1945-1962,FICTION,
435,262.15Ac47,P.S. de Achutegui,BRIEF CATECHISM on the LAITY,1987,Filipiniana,
28,D854,Andre Dubus,BROKEN VESSELS,1991,FICTION,
52,P442,Ellis Peters,BROTHER CADFAEL'S PENANCE,1994,FICTION,
151,     248.22B849,,BTA. ANA DE SAN BARTOLOME OBRAS COMPLETAS,1998,SPECIAL COLLECTION,
204,261.26W169,M. O' C. WALSHE,BUDDHISM AND CHRISTIANITY: A POSITIVE APPROACH,n.d.,THEOLOGY,
262,306.8T126,Sr. Edna Tagamolila,Building communities of Love : a manual for marriage preparation and family life seminars,1999,Filipiniana,
82, 170W670,"Thomas William, LC",BUILDING ON SOLID GROUND : Authentic values and how to attain them,1995,FILIPIANA (LIBRARY 2),
74,423C144,,CAMBRIDGE: INTERNATIONAL DICTIONARY OF ENGLISH,1995,FILIPIANA (LIBRARY 2),
68,248.2M855,John P. Mossi & Suzanne Toolan,CANTICLES AND GATHERING PRAYERS,1989,SPIRITUALITY,
212,282.09759B328,Felix B. Bautista,Cardinal Sin and the Miracle of Asia : a biography by Felix B. Bautista,1987,Filipiniana,
276,201.661M781,Thomas Moore,CARE OF THE SOUL : A guide for cultivating depth and sacredness in everyday life,1992,SPIRITUALITY,
349,242P196,Edizioni Paoline,CARLO CARRRETTO: Blessed are you who believed,1980,Filipiniana,
4,016.9599C335,Confrado F. Ciriaco,CATALOGUE OF PHILIPPINE PICTURE POSTCARDS AMERICAN PERIOD: 1898 TO 1941,1955,FILIPIANA (LIBRARY 2),
25,C2004,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2000,VERTICAL FILE,
26,C2001,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2001,VERTICAL FILE,
27,C2002,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2002,VERTICAL FILE,
28,C2003,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2003,VERTICAL FILE,
29,C2004,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2004,VERTICAL FILE,
30,C2006,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2006,VERTICAL FILE,
31,C2007,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2007,VERTICAL FILE,
32,C2008,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2008,VERTICAL FILE,
33,C2011,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2011,VERTICAL FILE,
34,C2005,Culion Chaplaincy,CATALOGUS : Provinciae Philippinae Societatis Jesu,2005,VERTICAL FILE,
35,C2009,,CATALOGUS : Provinciae Philippinae Societatis Jesu,2009,VERTICAL FILE,
64,271.53C280,,CATALOGUS PROVINCIAE IAPONICAE SOCIETATIS IESU,2001,SPECIAL COLLECTION,
22,C2007,,CATALOGUS PROVINCIAE SINENSIS SOCIETATIS JESU,2007,VERTICAL FILE,
28," 271.53C280,1999",,CATALOGUS PROVINCIARUM STATUUM FOEDERATORUM AMERICAE SOCIETATIS JESU USA-1999,1999,GEN-REF2,
29," 271.53C280,2000",,CATALOGUS PROVINCIARUM STATUUM FOEDERATORUM AMERICAE SOCIETATIS JESU USA-2000,2000,GEN-REF2,
22,271.53C280,,CATALOGUS PROVINCIARUM STATUUM FOEDERATORUM AMERICAE SOCIETATIS JESU USA-2001,2001,GEN-REF2,
30," 271.53C280,2003",,CATALOGUS PROVINCIARUM STATUUM FOEDERATORUM AMERICAE SOCIETATIS JESU USA-2003,2003,GEN-REF2,
31," 271.53C280,2007",,CATALOGUS PROVINCIARUM STATUUM FOEDERATORUM AMERICAE SOCIETATIS JESU USA-2007,2007,GEN-REF2,
32," 271.53C280,2008",,CATALOGUS PROVINCIARUM STATUUM FOEDERATORUM AMERICAE SOCIETATIS JESU USA-2008,2008,GEN-REF2,
84,268C282,,CATECHESI TRADENDAE : APOSTOLIC EXHORTATION OF HIS HOLINESS POPE JOHN PAUL II ON CATECHESIS IN OUR TIME,,PAPAL COLLECTION,
20,268.82,,"CATECHESIS IN OUR TIME : APOSTOLIC EXHORTATION CATECHESI TRADENDAE OF HIS HOLINESS POPE JOHN PAUL II TO THE EPISCOPATE, THE CLERGY AND THE FAITHFUL OF THE ENTIRE CATHOLIC CHURCH ON CATECHESIS IN OUR TIME",1979,PAPAL COLLECTION,
376,238.2C286,CBCP,Catechism for Filipino Catholics,1997,Filipiniana,
377,238.2C286,CBCP,Catechism for Filipino Catholics,1997,Filipiniana,
378,238.2C286,ECCCE,Catechism of the Catholic Church,1994,Filipiniana,
51,282.092P277,Frances Taylor Patterson,CATHERINE TEKAKWITHA,1958,SPIRITUALITY,
266,239.1R66,Philip St. Romain,Catholic Answers to Fundamentalists' Questions,1984,THEOLOGY,
102,262.12C286,,Catholic Bishops' Conference of the Philippines,1995,Filipiniana,
257,282.599092C286,,Catholic Bishops' Conference of the Philippines LETTERS and STATEMENTS 1984-1990,1990,Filipiniana,
101,282.025Of24,,CATHOLIC DIRECTORY : MOTHER TERESA CALCUTTA : ARCHDIOCESE OF AGANA,1998,General Reference,
102,282.025Of25,,CATHOLIC DIRECTORY : MOTHER TERESA CALCUTTA : ARCHDIOCESE OF AGANA,,General Reference,
83,248.4C286,,CATHOLIC GUIDELINES on FUNDAMENTALISM,1989,Filipiniana,
175,946.0811L951,Michael Eaude,"CATHOLICISM, WAR NAD FOUNDATION OF FRANCOISM",1979,THEOLOGY,
3,SP2002,,"CEBU ARCHDIOCESAN PRIESTS'CONGRESS : August 20,2002,ECOTECH Center , Cebu City Souvenier Issue",2002,VERTICAL FILE,
14,SP2002,,CEBU ARCHDIOCESAN PRIESTS'CONGRESS DUC IN ALTUM: A call to renewal,2002,VERTICAL FILE,
69,306.499221C321,,CEBUANO CULTURAL DIALOGS FOR ENRICHMENT,1979,FILIPIANA (LIBRARY 2),
12,"495.7M987v.2,1968",Muyargas Flores,CEBUANO FOR NON-FILIPINOS,1968,FILIPIANA (LIBRARY 2),
10,"499.2215C321,1980",,CEBUANO GRAMMAR AND PATTERN DRILL PART 11,1980,FILIPIANA (LIBRARY 2),
9,"499.2215C321,1981",,CEBUANO GRAMMAR AND PATTERN DRILLS PART 1,1981,FILIPIANA (LIBRARY 2),
8,499.2215C321,,CEBUANO GRAMMAR AND PATTERN DRILLS PART I,1977,FILIPIANA (LIBRARY 2),
11,499.2215C321Pt.2,,CEBUANO GRAMMAR AND PATTERN DRILLS PART ll,,FILIPIANA (LIBRARY 2),
395,264.02C330,,Celebrating the Eucharist with Mary : A Guidebook,2005,Filipiniana,
628,248.4896F811,Richard J. Foster,CELEBRATION OF DISCIPLINE: The path of spiritual growth,1978,SPIRITUALITY,
481,234.22C330,,CELEBRATIONS OF LIFE: A GUIDE TO DAILY PRAYER,1992,Filipiniana,
681,253.2C330,Joseph H. Fichter Et Al.,CELIBACY : The necessary option,1968,SPIRITUALITY,
603,248.2F247,Edward J. Farrell,CELTIC MEDITATIONS,1976,SPIRITUALITY,
826,248.32P384,"M. Basil Pennington, O.C.S.O.",CENTERING PRAYER: Renewing an ancient christain prayer form,1980,SPIRITUALITY,
90,261.1C333,,CENTESIMUS ANNUS : ENCYCLICAL LETTER OF THE SUPREME PONTIFF JOHN PAUL II ONTHE HUNTDREDTH ANNIVERSARY OF RERUM NOVARUM,1991,PAPAL COLLECTION,
289,,,CENTURM IGNATIAN SPIRITUALTATIS [CIS] Casella Postale 9048 ROMA [ITALIA]  (c.1),1970,PERIODICAL,
290,,,CENTURM IGNATIAN SPIRITUALTATIS [CIS] Casella Postale 9048 ROMA [ITALIA]  (c.2),1970,PERIODICAL,
245,255.53Ar699,Pedro Arrupe S.J.,CHALLENGE TO RELIGIOUS LIFE TODAY,1979,SPIRITUALITY,
956,248.29L648c,Mark Link S.J.,CHALLENGE: A meditation program based on the spiritual exercises of St. Ignatius ,1988,SPIRITUALITY,
911,248.8942M232,"C.J. McSnappy, S.J.",CHANGE NOT CHANGES : New directions in religious life and priesthood,1968,SPIRITUALITY,
869,234.13H432,Benedict Heron,CHANNELS OF HEALING PRAYER,1989,SPIRITUALITY,
813,242P353c.1,"Francis X. Peirce, S.J.",CHAPTER I OF PONDER SLOWLY Chapter I,1958,SPIRITUALITY,
814,242P353c.2,"Francis X. Peirce, S.J.",CHAPTER I OF PONDER SLOWLY Chapter I,1958,SPIRITUALITY,
